fic,gvkey,datadate,prccm
CHE,203189,31/12/2023,70.2
CHE,203189,31/12/2024,73.3
DEU,218000,31/12/2023,28.45
DEU,218000,31/12/2024,22.44
DEU,222340,31/12/2023,21.42
DEU,222340,31/12/2024,21.44
DEU,228580,31/12/2023,12.56
DEU,228580,31/12/2024,9.8
DNK,101156,31/12/2023,464.2
DNK,101156,31/12/2024,514.5
FRA,103305,31/12/2023,35.2695
FRA,103305,31/12/2024,20.6
NLD,103413,31/12/2023,39.26
NLD,103413,31/12/2024,34.38
NLD,104718,31/12/2024,39.54
